point,name,latitude,longitude,color
point,William B Ward Elementary School,40.9558,-73.784,orange
point,Pequenakonck Elementary School,41.3481,-73.5897,orange
point,Anne M Dorner Middle School,41.1749,-73.8586,orange
point,Brookside School,41.1744,-73.834,orange
point,Claremont School,41.1716,-73.8598,orange
point,Park School,41.1545,-73.8628,orange
point,Roosevelt School,41.1666,-73.8466,orange
point,Hillcrest School,41.2968,-73.9098,orange
point,Oakside School,41.2923,-73.9243,orange
point,Uriah Hill School,41.3011,-73.9181,orange
point,Woodside School,41.2802,-73.923,orange
point,Peekskill Middle School,41.2865,-73.9243,orange
point,Colonial School,40.9037,-73.8086,orange
point,Hutchinson School,40.9165,-73.8094,orange
point,Pelham Middle School,40.9032,-73.8122,orange
point,Prospect Hill School,40.8901,-73.8077,orange
point,Siwanoy School,40.8985,-73.809,orange
point,Bedford Road School,41.1379,-73.7848,orange
point,Pleasantville Middle School,41.1326,-73.7852,orange
point,Pocantico Hills Central School,41.0994,-73.8295,orange
point,John F Kennedy Magnet School,40.998,-73.6717,orange
point,King Street School,41.0202,-73.6683,orange
point,Park Avenue School,41.012,-73.6748,orange
point,Port Chester Middle School,41.0048,-73.6929,orange
point,Thomas a Edison School,41.0081,-73.659,orange
point,Bruno M Ponterio Ridge Street School,41.0306,-73.683,orange
point,Blind Brook-Rye Middle School,41.0318,-73.6746,orange
point,Midland School,40.9783,-73.6792,orange
point,Milton School,40.9582,-73.6882,orange
point,Osborn School,40.9698,-73.7072,orange
point,Rye Middle School,40.973,-73.687,orange
point,Daniel Warren Elementary School,40.9567,-73.7213,orange
point,F E Bellows Elementary School,40.9549,-73.7263,orange
point,Rye Neck Middle School,40.9607,-73.7122,orange
point,Edgewood School,40.9841,-73.7961,orange
point,Fox Meadow School,41.0028,-73.7912,orange
point,Greenacres School,41.0104,-73.7842,orange
point,Heathcote School,40.9841,-73.7721,orange
point,Quaker Ridge School,40.9681,-73.7707,orange
point,Scarsdale Middle School,40.9931,-73.7752,orange
point,Primrose School,41.3098,-73.7153,orange
point,Somers Intermediate School,41.3253,-73.6972,orange
point,Somers Middle School,41.3264,-73.6946,orange
point,John Paulding School,41.0821,-73.8573,orange
point,W L Morse School,41.0851,-73.8617,orange
point,Washington Irving Interm School,41.0732,-73.8607,orange
point,Sleepy Hollow Middle School,41.0837,-73.8572,orange
point,Tuckahoe Middle School,40.9428,-73.8124,orange
point,William E Cottle School,40.9409,-73.8146,orange
point,Valhalla Middle School,41.0916,-73.7761,orange
point,Virginia Road Elementary School,41.0649,-73.7765,orange
point,Kensico School,41.0931,-73.7742,orange
point,White Plains Middle School,41.0121,-73.7631,orange
point,George Washington School,41.049,-73.7641,orange
point,Mamaroneck Avenue School,41.0212,-73.7598,orange
point,Post Road School,41.0204,-73.7746,orange
point,Ridgeway School,41.0047,-73.7526,orange
point,Church Street School,41.0415,-73.7717,orange
point,Robert C Dodson School,40.9697,-73.828,orange
point,Family School 32,40.9636,-73.8434,orange
point,Montessori School 31,40.9528,-73.8469,orange
point,William Boyce Thompson School,40.9718,-73.8846,orange
point,Paideia School 24,40.9497,-73.8739,orange
point,Paideia School 15,40.9613,-73.8271,orange
point,Enrico Fermi School for the Performing Arts,40.9315,-73.8919,orange
point,Mlk Jr High Tech & Computer Magnet School,40.9387,-73.8955,orange
